N,P,K,temperature,humidity,ph,rainfall,crop,yield,fertilizer
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,70.47785768,Lime
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,72.4238089,DAP
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,78.43139829,Lime
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,71.25334225,Lime
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,80.62547024,Lime
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice,77.42103724,DAP
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice,83.99263127,DAP
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,80.5055173,DAP
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice,75.23420083,DAP
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,77.31117138,Gypsum
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice,77.76413811,DAP
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,71.4831581,DAP
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice,87.15846216,DAP
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice,80.7760737,Lime
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,62.43013115,DAP
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,60.38638011,Lime
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize,42.67114032,MOP
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize,48.86129963,MOP
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,43.51548119,MOP
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,44.38836211,MOP
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,43.80438173,MOP
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,43.83820225,MOP
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,52.34342294,MOP
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize,53.99074196,MOP
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize,40.60510367,MOP
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,48.33556112,MOP
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,46.04707932,MOP
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize,46.51116623,MOP
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,45.63410868,MOP
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,54.07250154,MOP
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize,46.02948331,MOP
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize,46.15748107,MOP
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize,52.75415265,MOP
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize,39.2120612,MOP
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize,46.97616047,MOP
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,47.96657358,MOP
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize,52.99175529,MOP
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,56.48269197,MOP
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,46.34508959,MOP
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize,43.17937262,MOP
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,48.18315968,MOP
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,49.96221858,MOP
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,54.97653111,MOP
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,53.77231945,MOP
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,41.19246384,MOP
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize,54.8273171,MOP
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,44.84498769,MOP
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,41.17051661,MOP
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,44.98607677,MOP
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize,38.6754813,MOP
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize,49.86316236,MOP
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,54.6707663,MOP
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize,44.46073564,MOP
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,56.23169049,MOP
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize,50.75138118,MOP
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,55.57173186,MOP
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize,56.69493732,MOP
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,41.41952754,MOP
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize,44.06071131,MOP
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,51.77001491,MOP
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,49.26904911,MOP
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize,44.64638813,MOP
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize,48.53631413,MOP
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,51.22884185,MOP
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,44.88489006,MOP
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,39.58145815,MOP
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize,53.62779423,MOP
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,44.05581449,MOP
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,45.0589363,MOP
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,40.84318097,MOP
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,59.79877909,MOP
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize,49.50492343,MOP
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize,53.61712273,MOP
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,53.60556482,MOP
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize,42.10626274,MOP
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize,44.77121714,MOP
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize,46.88452703,MOP
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,51.30970119,MOP
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize,45.02193391,MOP
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize,48.37046484,MOP
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize,43.24388486,MOP
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize,53.59311298,MOP
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize,46.9072238,MOP
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize,46.66889926,MOP
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,37.70633945,MOP
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize,53.73769728,MOP
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize,52.97090314,MOP
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize,41.34688,MOP
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize,44.21963006,MOP
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize,51.62746982,MOP
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize,44.77705706,MOP
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize,43.78486534,MOP
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,49.09248842,MOP
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize,49.74491219,MOP
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize,46.91176432,MOP
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize,45.58529954,MOP
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize,54.00143275,MOP
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize,44.90342358,MOP
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize,48.59144525,MOP
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize,49.17464581,MOP
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize,46.16025509,MOP
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize,46.59232974,MOP
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize,55.4389542,MOP
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize,45.99573341,MOP
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize,46.54542987,MOP
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,48.63510699,MOP
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize,48.8153244,MOP
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize,54.54321895,MOP
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,52.28185725,MOP
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize,52.72585918,MOP
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize,47.22917447,MOP
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize,51.09010722,MOP
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize,50.13664921,MOP
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize,46.54358324,MOP
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize,51.34481304,MOP
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize,56.2888765,MOP
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea,49.57726022,Urea
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea,40.48370488,Urea
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,chickpea,40.37759252,Urea
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea,49.62340626,Urea
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,chickpea,46.62008238,Urea
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,chickpea,42.97827067,Urea
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,chickpea,46.57509243,Rhizobium
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,chickpea,53.6686548,Gypsum
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea,41.03803691,Urea
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,chickpea,42.70124338,Urea
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,chickpea,53.21083092,Gypsum
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea,48.12206368,Urea
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,chickpea,50.99281943,Rhizobium
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea,41.12188026,Urea
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea,43.1763399,Urea
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,chickpea,41.87293399,Urea
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea,44.36060396,Gypsum
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea,50.78223846,Urea
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea,44.04978107,Urea
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea,49.806591,Urea
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,chickpea,46.37499407,Urea
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,chickpea,44.97128055,Urea
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea,43.16845967,Urea
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea,50.90525947,Rhizobium
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,chickpea,47.13976788,Gypsum
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea,38.52857526,Urea
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea,49.3155793,Urea
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,chickpea,51.46086052,Gypsum
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,chickpea,56.17756765,Gypsum
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea,48.65477998,Urea
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea,49.29258839,Urea
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea,48.73662694,Urea
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea,47.62090447,Urea
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,chickpea,43.86115702,Urea
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea,44.43560872,Urea
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,chickpea,47.00595248,Urea
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,chickpea,46.4658937,Gypsum
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,chickpea,41.91213344,Urea
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,chickpea,51.00432444,Urea
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,chickpea,44.23635184,Rhizobium
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea,49.07000163,Urea
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,chickpea,53.81868344,Gypsum
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,chickpea,49.38910515,Urea
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,chickpea,48.02915793,Gypsum
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,chickpea,41.42709179,Urea
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,chickpea,49.73392448,Urea
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,chickpea,46.90246344,Gypsum
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,chickpea,51.7078479,Urea
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea,53.58439547,Rhizobium
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea,53.21676906,Rhizobium
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,chickpea,47.29188028,Urea
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,chickpea,48.29500824,Urea
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,chickpea,43.84112548,Urea
29,77,75,17.50361137,15.48083156,7.778591618,72.9446671,chickpea,42.17615315,Urea
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,chickpea,39.25247009,Urea
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,chickpea,49.85843956,Gypsum
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,chickpea,51.07480686,Urea
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea,51.37412469,Urea
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,chickpea,50.18103691,Gypsum
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,chickpea,39.42544533,Urea
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,chickpea,43.73927344,Urea
51,72,75,18.88852533,14.99451145,7.104224797,80.1113384,chickpea,53.62117666,Rhizobium
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,chickpea,49.71787437,Rhizobium
22,64,82,19.48974337,17.17260319,6.4740245,87.51312796,chickpea,44.24760405,Urea
52,73,79,17.25769499,18.74943955,7.840339389,94.00287214,chickpea,55.8509259,Gypsum
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,chickpea,48.87008959,Urea
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,chickpea,49.2304439,Urea
41,69,82,20.02381489,16.63294455,6.715587232,68.97806542,chickpea,47.89456468,Urea
52,56,85,20.1187446,14.44228303,6.81712422,88.68168643,chickpea,47.92583587,Rhizobium
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,chickpea,42.76971213,Urea
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,chickpea,49.39633085,Urea
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,chickpea,48.13469632,Urea
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,chickpea,48.87840837,Urea
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,chickpea,48.04996878,Urea
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,chickpea,49.10659344,Gypsum
27,79,82,17.06579293,17.54024066,6.307004923,70.87150577,chickpea,44.60254291,Urea
32,71,85,20.62767492,14.44008871,6.403982316,92.06630306,chickpea,51.06027096,Urea
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,chickpea,48.28783672,Urea
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,chickpea,47.69337166,Urea
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,chickpea,51.33075912,Urea
54,62,80,17.48911699,16.39055394,7.489545074,79.45758333,chickpea,52.43008977,Rhizobium
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea,45.31286443,Urea
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea,43.64499547,Urea
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,chickpea,44.96637736,Rhizobium
45,61,78,19.48649305,16.06240074,6.489389282,81.5284269,chickpea,47.39036322,Urea
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,chickpea,44.25743028,Urea
30,75,81,19.41789736,16.80472243,6.408437886,68.4951189,chickpea,43.91377568,Urea
37,55,82,19.45591848,18.02235902,8.423873703,78.44910564,chickpea,45.155221,Urea
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea,46.18523572,Gypsum
22,60,85,18.8392908,14.74071856,7.811997977,94.78189594,chickpea,45.80541763,Urea
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,chickpea,47.26292787,Rhizobium
42,67,77,18.99424448,15.9362937,7.114405288,78.69707199,chickpea,41.7382573,Urea
39,76,76,19.96837462,15.57324389,8.135900726,69.15759062,chickpea,48.97419116,Urea
35,63,76,17.81564548,17.60756635,7.714153038,90.82097601,chickpea,44.77449695,Urea
30,65,82,20.71424384,15.27824066,7.103798069,76.77888672,chickpea,40.50225629,Urea
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,chickpea,46.85461256,Gypsum
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,chickpea,49.07058543,Urea
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,chickpea,40.55634279,Urea
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,chickpea,47.03274321,Urea
49,69,82,18.31561493,15.36143547,7.26311855,81.78710463,chickpea,45.02871317,Urea
13,60,25,17.13692774,20.59541693,5.68597166,128.256862,kidneybeans,34.73147673,Urea
25,70,16,19.63474332,18.90705639,5.759237003,106.3598183,kidneybeans,38.88558458,Urea
31,55,22,22.91350245,21.33953114,5.873171894,109.225556,kidneybeans,39.84646376,Urea
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,kidneybeans,47.386454,Urea
2,61,20,22.13974653,23.02251117,5.95561668,76.64128258,kidneybeans,31.716674,Urea
26,65,22,17.84806561,18.77621951,5.949949081,143.0984171,kidneybeans,49.02820423,Urea
17,57,21,19.88394011,20.31564139,5.789214289,60.91974792,kidneybeans,29.28930596,Urea
26,80,18,19.32509638,23.3334788,5.581021521,104.7783947,kidneybeans,38.94933468,Urea
17,59,17,18.4167001,23.42829938,5.689858133,132.9801054,kidneybeans,42.73685643,Urea
27,59,22,21.81167649,23.20591245,5.794158504,130.0608093,kidneybeans,40.13832658,Urea
28,58,24,19.72702528,18.28173015,5.748190463,143.7630894,kidneybeans,43.51728173,Urea
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans,29.92155046,Urea
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,kidneybeans,41.72781086,Urea
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,kidneybeans,47.24539167,Urea
12,78,23,16.06522754,18.72479695,5.99812453,88.06638775,kidneybeans,38.4984805,Urea
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans,34.27188091,Urea
